,0
0,Attack on US embassy
1,Yemen
2,Bank & Insurance Bailout
3,US strikes
4,kill 20
5,"Pakistan,  Bailouts"
6,UN Ranking
7,Food Hoarding
8,Currency Crisis
9,Russia-US Conflict
10,Security
11,U.K. Uses Anti-Terrorism Law to Seize Icelandic
12,Icelandic Currency
13,Value Plunge
14,China democracy
15,Legalize Pot
16,Taxes; Worl
17,Asteroid
18,Near-miss
19,NJ mayors/rabbis
20,South Africa Cartoon Court Case
21,Israel Nuclear Weapons
22,South Africa Sale
23,Australia-Israel Diplomat
24,Kenyan judges unconstitutional Islamic
25,Dropped
26,Facebook fined
27,Muslim punched
28,Wall Street Tumble
29,Debt fears
30,FTSE 100 pay
31,49% rise
32,Mexico Drug War
33,"50,000 Dead"
34,Missile parts Syria
35,Obama-Israel
36,Military Aid
37,Campaign + Saudi
38,Campaign Saudi Refs
39,Ebola Outbreak
40,Wind Power
41,Rising Costs
42,Decreasing
43,Bill Gates to invest $2bn
44,Lego
45,Chinese Stock Ban
46,Kim orders military
47,Greek PM Resigns
48,Twitter kills Politwoops
49,Shanghai stock market
50,opens down 6.
51,US Dollar Drop
52,China stock
53,market crash
54,Reports of sexual assaults on women
55,Deutsche minister deports
56,Iran bans pilgr
57,El Chapo
58,Nuclear Test
59,Iran-nuclear-deal
60,RBS-sell-all
61,Western
62,Oil falls
63,Saudis arrest
64,Putin superpower
65,Canadian dollar drop
66,Iran sailors
67,Oil price
68,Crude oil at $29
69,ISIS destroys Iraq
70,Oceans running
71,Oil Price Fall
72,Afghan Univ.
73,"Barclays,RBS"
