Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score
2008-07-07,11289.19,11399.11,11120.74,11231.96,11231.96,248240000.0,,
2008-07-08,11225.03,11391.13,11174.88,11384.21,11384.21,271500000.0,0.013555069640561301,
2008-07-09,11381.93,11418.24,11141.99,11147.44,11147.44,227100000.0,-0.020798105446051873,
2008-07-10,11148.01,11270.3,11086.95,11229.02,11229.02,248010000.0,0.007318272177289087,
2008-07-11,11226.17,11241.07,10977.68,11100.54,11100.54,275010000.0,-0.011441782096745734,
2008-07-14,11103.64,11239.04,11003.65,11055.19,11055.19,205360000.0,-0.004085386837036742,
2008-07-15,11050.8,11123.67,10827.71,10962.54,10962.54,331390000.0,-0.00838067911994278,
2008-07-16,10961.89,11244.17,10918.33,11239.28,11239.28,307590000.0,0.02524414962225907,
2008-07-17,11238.39,11446.66,11209.56,11446.66,11446.66,335260000.0,0.018451359873586037,
2008-07-18,11436.56,11510.82,11381.93,11496.57,11496.57,378610000.0,0.004360223855692347,
2008-07-21,11495.02,11559.67,11423.94,11467.34,11467.34,212850000.0,-0.0025424974579374426,
2008-07-22,11457.9,11616.66,11387.39,11602.5,11602.5,273690000.0,0.011786517187072132,
2008-07-23,11603.39,11698.17,11558.29,11632.38,11632.38,264520000.0,0.0025753070458951477,
2008-07-24,11630.34,11634.49,11345.37,11349.28,11349.28,241140000.0,-0.024337237951304713,
2008-07-25,11341.14,11443.81,11325.1,11370.69,11370.69,190920000.0,0.001886463282252171,
2008-07-28,11369.47,11369.55,11125.13,11131.08,11131.08,197550000.0,-0.021072599815842308,
2008-07-29,11133.44,11398.38,11128.06,11397.56,11397.56,206930000.0,0.02394017471799681,
2008-07-30,11397.56,11586.62,11397.56,11583.69,11583.69,208520000.0,0.016330688322763853,
2008-07-31,11577.99,11578.89,11363.69,11378.02,11378.02,220200000.0,-0.01775513674830731,
2008-08-01,11379.89,11425.73,11267.05,11326.32,11326.32,189700000.0,-0.004543848578223653,
2008-08-04,11326.32,11382.17,11221.53,11284.15,11284.15,170250000.0,-0.0037231863482578564,
2008-08-05,11286.02,11615.93,11286.02,11615.77,11615.77,234990000.0,0.029388124050105713,
2008-08-06,11603.64,11685.46,11521.32,11656.07,11656.07,180060000.0,0.0034694213125776585,
2008-08-07,11655.42,11655.58,11416.7,11431.43,11431.43,229610000.0,-0.019272361953900363,
2008-08-08,11432.09,11759.96,11388.04,11734.32,11734.32,212830000.0,0.026496247626062397,
2008-08-11,11729.67,11867.11,11675.53,11782.35,11782.35,183190000.0,0.004093121714765058,
2008-08-12,11781.7,11782.35,11601.52,11642.47,11642.47,173590000.0,-0.011871994975535483,
2008-08-13,11632.81,11633.78,11453.34,11532.96,11532.96,182550000.0,-0.009406079637740095,
