,0
0,"that can potentially impact the US Stock Market

Attack on US embassy"
1,Yemen
2,Bank & Insurance Bailout
3,".

US strikes"
4,kill 20
5,"Pakistan,  Bailouts"
6,UN Ranking
7,Food Hoarding
8,Currency Crisis
9,Russia-US Conflict
10,"NO
Fraud Indictment"
11,Security
12,"that can affect the US stock market

NO"
13,U.K. Uses Anti-Terrorism Law to Seize Icelandic
14,Icelandic Currency
15,Value Plunge
16,"NO
Iceland"
17,"for the stock market

China democracy"
18,"NO,
CFR Member"
19,"that may impact the stock markets

Legalize Pot"
20,Taxes; Worl
21,"that may impact the stock market

Asteroid"
22,Near-miss
23,"that could impact the US stock market 

NJ mayors/rabbis"
24,Turkish honour killing
25,"NO 
Dubai Police/Netanyahu"
26,North Korea War
27,"NO
Oh Australia"
28,"NO
Haitian"
29,"that can affect the market

South Africa Cartoon Court Case"
30,Israel Nuclear Weapons
31,South Africa Sale
32,Australia-Israel Diplomat
33,"that has potential to impact the US stock market

Kenyan judges unconstitutional Islamic"
34,North Korea-South Korea
35,"NO
2"
36,Dropped
37,Facebook fined
38,"NO
2"
39,Muslim punched
40,"that can potentially impact the US stock market
Wall Street Tumble"
41,Debt fears
42,"that affects the US Stock Market

NO"
43,FTSE 100 pay
44,49% rise
45,"NO
Cann"
46,"to affect the stock market.

NO"
47,Mexico Drug War
48,"50,000 Dead"
49,"NO
Pirate Bay"
50,"that can affect the US stock market

NO"
51,North Korea
52,Missile parts Syria
53,"NO 
Israel"
54,Anonymous warnings
55,Obama-Israel
56,Military Aid
57,"NO
Hamas-Milat"
58,Campaign + Saudi
59,Campaign Saudi Refs
60,"NO
Snowden+"
61,Ebola Outbreak
62,"Rapid increase,NO Plan"
63,Wind Power
64,Rising Costs
65,"NO
Rhino Horn"
66,Decreasing
67,Bill Gates to invest $2bn
68,"Money Injection
Lego"
69,".

Chinese Stock Ban"
70,"NO
TTIP Court Rule"
71,North Korea War Prep
72,Kim orders military
73,Greek PM Resigns
74,Twitter kills Politwoops
75,"NO
Surfers police brutality"
76,"for the stock market

Shanghai stock market"
77,opens down 6.
78,US Dollar Drop
79,"NO
Secret 'Dark Net' Operation"
80,"that could affect the US stock market

China stock"
81,market crash
82,Reports of sexual assaults on women
83,Deutsche minister deports
84,Iran bans pilgr
85,El Chapo
86,Nuclear Test
87,North
88,Iran-nuclear-deal
89,RBS-sell-all
90,Western
91,Oil falls
92,Saudis arrest
93,Putin superpower
94,Canadian dollar drop
95,Iran sailors
96,Oil price
97,Crude oil at $29
98,"NO
US financial"
99,ISIS destroys Iraq
100,"NO 
2"
101,Oceans running
102,Oil Price Fall
103,"BP Warns Low Prices
Afghan Univ."
104,"to impact the US stock market

Barclays,RBS"
105,"that can potentially impact US stock market

NO"
106,"No, there is nothing significant that can potentially impact the US stock market"
107,".

No."
108,"in the list

No."
109,"from the list

No."
110,".

NO."
111,"related to the market.

No"
112,"that can impact the market

No."
113,"that can impact the US stock market

No."
114,".

No."
115,"No, there is no significant headline."
116,"that affect the market

No."
117,"news

No."
118,"that can impact the US stock market

No."
119,"impacting the market

No;"
